func_name,is_array,offset,varname,dir,width,depth,remark
conv_fprop2,1,6473472,s2_pooling_layer2_error_q1,in,64,122880,addr_width=17
conv_fprop2,1,7456512,s2_pooling_layer2_b_d0,out,64,120,addr_width=7
conv_fprop2,1,7456512,s2_pooling_layer2_b_q0,in,64,120,addr_width=7
conv_fprop2,1,7456512,s2_pooling_layer2_b_d1,out,64,120,addr_width=7
conv_fprop2,1,7456512,s2_pooling_layer2_b_q1,in,64,120,addr_width=7
conv_fprop2,1,7457472,s2_pooling_layer2_db_d0,out,64,120,addr_width=7
conv_fprop2,1,7457472,s2_pooling_layer2_db_q0,in,64,120,addr_width=7
conv_fprop2,1,7457472,s2_pooling_layer2_db_d1,out,64,120,addr_width=7
conv_fprop2,1,7457472,s2_pooling_layer2_db_q1,in,64,120,addr_width=7
conv_fprop2,1,7458432,s2_pooling_layer2_W_d0,out,64,48000,addr_width=16
conv_fprop2,1,7458432,s2_pooling_layer2_W_q0,in,64,48000,addr_width=16
conv_fprop2,1,7458432,s2_pooling_layer2_W_d1,out,64,48000,addr_width=16
conv_fprop2,1,7458432,s2_pooling_layer2_W_q1,in,64,48000,addr_width=16
conv_fprop2,1,7842432,s2_pooling_layer2_dW_d0,out,64,48000,addr_width=16
conv_fprop2,1,7842432,s2_pooling_layer2_dW_q0,in,64,48000,addr_width=16
conv_fprop2,1,7842432,s2_pooling_layer2_dW_d1,out,64,48000,addr_width=16
conv_fprop2,1,7842432,s2_pooling_layer2_dW_q1,in,64,48000,addr_width=16
conv_fprop2,1,8226432,s2_pooling_layer2_map_common_d0,out,64,1024,addr_width=10
conv_fprop2,1,8226432,s2_pooling_layer2_map_common_q0,in,64,1024,addr_width=10
conv_fprop2,1,8226432,s2_pooling_layer2_map_common_d1,out,64,1024,addr_width=10
conv_fprop2,1,8226432,s2_pooling_layer2_map_common_q1,in,64,1024,addr_width=10
conv_fprop2,0,72,c3_conv_layer1_map_w,in,32,1,
conv_fprop2,0,76,c3_conv_layer1_map_h,in,32,1,
conv_fprop2,0,80,c3_conv_layer1_map_count,in,32,1,
conv_fprop2,0,84,c3_conv_layer1_kernel_w,in,32,1,
conv_fprop2,0,88,c3_conv_layer1_kernel_h,in,32,1,
conv_fprop2,0,92,c3_conv_layer1_kernel_count,in,32,1,
conv_fprop2,1,8234624,c3_conv_layer2_data_d0,out,64,122880,addr_width=17
conv_fprop2,1,9217664,c3_conv_layer2_error_d0,out,64,122880,addr_width=17
conv_fprop2,1,9217664,c3_conv_layer2_error_q0,in,64,122880,addr_width=17
conv_fprop2,1,9217664,c3_conv_layer2_error_d1,out,64,122880,addr_width=17
conv_fprop2,1,9217664,c3_conv_layer2_error_q1,in,64,122880,addr_width=17
conv_fprop2,1,10200704,c3_conv_layer2_b_q0,in,64,120,addr_width=7
conv_fprop2,1,10201664,c3_conv_layer2_db_d0,out,64,120,addr_width=7
conv_fprop2,1,10201664,c3_conv_layer2_db_q0,in,64,120,addr_width=7
conv_fprop2,1,10201664,c3_conv_layer2_db_d1,out,64,120,addr_width=7
conv_fprop2,1,10201664,c3_conv_layer2_db_q1,in,64,120,addr_width=7
conv_fprop2,1,10202624,c3_conv_layer2_W_q0,in,64,48000,addr_width=16
conv_fprop2,1,10586624,c3_conv_layer2_dW_d0,out,64,48000,addr_width=16
conv_fprop2,1,10586624,c3_conv_layer2_dW_q0,in,64,48000,addr_width=16
conv_fprop2,1,10586624,c3_conv_layer2_dW_d1,out,64,48000,addr_width=16
conv_fprop2,1,10586624,c3_conv_layer2_dW_q1,in,64,48000,addr_width=16
conv_fprop2,1,10970624,c3_conv_layer2_map_common_d0,out,64,1024,addr_width=10
conv_fprop2,1,10970624,c3_conv_layer2_map_common_q0,in,64,1024,addr_width=10
conv_fprop2,1,19211392,pconnection_q0,in,1,96,addr_width=7
conv_fprop3,0,96,s4_pooling_layer1_map_w,in,32,1,
conv_fprop3,0,100,s4_pooling_layer1_map_h,in,32,1,
conv_fprop3,0,104,s4_pooling_layer1_map_count,in,32,1,
conv_fprop3,0,108,s4_pooling_layer1_kernel_w,in,32,1,
conv_fprop3,0,112,s4_pooling_layer1_kernel_h,in,32,1,
conv_fprop3,0,116,s4_pooling_layer1_kernel_count,in,32,1,
conv_fprop3,1,10978816,s4_pooling_layer2_data_q0,in,64,122880,addr_width=17
conv_fprop3,1,11961856,s4_pooling_layer2_error_d0,out,64,122880,addr_width=17
conv_fprop3,1,11961856,s4_pooling_layer2_error_q0,in,64,122880,addr_width=17
conv_fprop3,1,11961856,s4_pooling_layer2_error_d1,out,64,122880,addr_width=17
conv_fprop3,1,11961856,s4_pooling_layer2_error_q1,in,64,122880,addr_width=17
conv_fprop3,1,12944896,s4_pooling_layer2_b_d0,out,64,120,addr_width=7
conv_fprop3,1,12944896,s4_pooling_layer2_b_q0,in,64,120,addr_width=7
conv_fprop3,1,12944896,s4_pooling_layer2_b_d1,out,64,120,addr_width=7
conv_fprop3,1,12944896,s4_pooling_layer2_b_q1,in,64,120,addr_width=7
conv_fprop3,1,12945856,s4_pooling_layer2_db_d0,out,64,120,addr_width=7
conv_fprop3,1,12945856,s4_pooling_layer2_db_q0,in,64,120,addr_width=7
conv_fprop3,1,12945856,s4_pooling_layer2_db_d1,out,64,120,addr_width=7
conv_fprop3,1,12945856,s4_pooling_layer2_db_q1,in,64,120,addr_width=7
conv_fprop3,1,12946816,s4_pooling_layer2_W_d0,out,64,48000,addr_width=16
conv_fprop3,1,12946816,s4_pooling_layer2_W_q0,in,64,48000,addr_width=16
conv_fprop3,1,12946816,s4_pooling_layer2_W_d1,out,64,48000,addr_width=16
conv_fprop3,1,12946816,s4_pooling_layer2_W_q1,in,64,48000,addr_width=16
conv_fprop3,1,13330816,s4_pooling_layer2_dW_d0,out,64,48000,addr_width=16
conv_fprop3,1,13330816,s4_pooling_layer2_dW_q0,in,64,48000,addr_width=16
conv_fprop3,1,13330816,s4_pooling_layer2_dW_d1,out,64,48000,addr_width=16
conv_fprop3,1,13330816,s4_pooling_layer2_dW_q1,in,64,48000,addr_width=16
conv_fprop3,1,13714816,s4_pooling_layer2_map_common_d0,out,64,1024,addr_width=10
conv_fprop3,1,13714816,s4_pooling_layer2_map_common_q0,in,64,1024,addr_width=10
conv_fprop3,1,13714816,s4_pooling_layer2_map_common_d1,out,64,1024,addr_width=10
conv_fprop3,1,13714816,s4_pooling_layer2_map_common_q1,in,64,1024,addr_width=10
conv_fprop3,0,120,c5_conv_layer1_map_w,in,32,1,
conv_fprop3,0,124,c5_conv_layer1_map_h,in,32,1,
conv_fprop3,0,128,c5_conv_layer1_map_count,in,32,1,
conv_fprop3,0,132,c5_conv_layer1_kernel_w,in,32,1,
conv_fprop3,0,136,c5_conv_layer1_kernel_h,in,32,1,
conv_fprop3,0,140,c5_conv_layer1_kernel_count,in,32,1,
conv_fprop3,1,13723008,c5_conv_layer2_data_d0,out,64,122880,addr_width=17
conv_fprop3,1,14706048,c5_conv_layer2_error_d0,out,64,122880,addr_width=17
conv_fprop3,1,14706048,c5_conv_layer2_error_q0,in,64,122880,addr_width=17
conv_fprop3,1,14706048,c5_conv_layer2_error_d1,out,64,122880,addr_width=17
conv_fprop3,1,14706048,c5_conv_layer2_error_q1,in,64,122880,addr_width=17
conv_fprop3,1,15689088,c5_conv_layer2_b_q0,in,64,120,addr_width=7
conv_fprop3,1,15690048,c5_conv_layer2_db_d0,out,64,120,addr_width=7
conv_fprop3,1,15690048,c5_conv_layer2_db_q0,in,64,120,addr_width=7
conv_fprop3,1,15690048,c5_conv_layer2_db_d1,out,64,120,addr_width=7
conv_fprop3,1,15690048,c5_conv_layer2_db_q1,in,64,120,addr_width=7
conv_fprop3,1,15691008,c5_conv_layer2_W_q0,in,64,48000,addr_width=16
conv_fprop3,1,16075008,c5_conv_layer2_dW_d0,out,64,48000,addr_width=16
conv_fprop3,1,16075008,c5_conv_layer2_dW_q0,in,64,48000,addr_width=16
conv_fprop3,1,16075008,c5_conv_layer2_dW_d1,out,64,48000,addr_width=16
conv_fprop3,1,16075008,c5_conv_layer2_dW_q1,in,64,48000,addr_width=16
conv_fprop3,1,16459008,c5_conv_layer2_map_common_d0,out,64,1024,addr_width=10
conv_fprop3,1,16459008,c5_conv_layer2_map_common_q0,in,64,1024,addr_width=10
conv_fprop3,1,19211392,pconnection_q0,in,1,96,addr_width=7
max_pooling_fprop1,0,24,c1_conv_layer1_map_w,in,32,1,
max_pooling_fprop1,0,28,c1_conv_layer1_map_h,in,32,1,
max_pooling_fprop1,0,32,c1_conv_layer1_map_count,in,32,1,
max_pooling_fprop1,0,36,c1_conv_layer1_kernel_w,in,32,1,
max_pooling_fprop1,0,40,c1_conv_layer1_kernel_h,in,32,1,
max_pooling_fprop1,0,44,c1_conv_layer1_kernel_count,in,32,1,
max_pooling_fprop1,1,2746240,c1_conv_layer2_data_q0,in,64,122880,addr_width=17
max_pooling_fprop1,1,2746240,c1_conv_layer2_data_q1,in,64,122880,addr_width=17
max_pooling_fprop1,1,3729280,c1_conv_layer2_error_d0,out,64,122880,addr_width=17
max_pooling_fprop1,1,3729280,c1_conv_layer2_error_q0,in,64,122880,addr_width=17
max_pooling_fprop1,1,3729280,c1_conv_layer2_error_d1,out,64,122880,addr_width=17
max_pooling_fprop1,1,3729280,c1_conv_layer2_error_q1,in,64,122880,addr_width=17
max_pooling_fprop1,1,4712320,c1_conv_layer2_b_d0,out,64,120,addr_width=7
max_pooling_fprop1,1,4712320,c1_conv_layer2_b_q0,in,64,120,addr_width=7
max_pooling_fprop1,1,4712320,c1_conv_layer2_b_d1,out,64,120,addr_width=7
max_pooling_fprop1,1,4712320,c1_conv_layer2_b_q1,in,64,120,addr_width=7
max_pooling_fprop1,1,4713280,c1_conv_layer2_db_d0,out,64,120,addr_width=7
max_pooling_fprop1,1,4713280,c1_conv_layer2_db_q0,in,64,120,addr_width=7
max_pooling_fprop1,1,4713280,c1_conv_layer2_db_d1,out,64,120,addr_width=7
max_pooling_fprop1,1,4713280,c1_conv_layer2_db_q1,in,64,120,addr_width=7
max_pooling_fprop1,1,4714240,c1_conv_layer2_W_d0,out,64,48000,addr_width=16
max_pooling_fprop1,1,4714240,c1_conv_layer2_W_q0,in,64,48000,addr_width=16
max_pooling_fprop1,1,4714240,c1_conv_layer2_W_d1,out,64,48000,addr_width=16
max_pooling_fprop1,1,4714240,c1_conv_layer2_W_q1,in,64,48000,addr_width=16
max_pooling_fprop1,1,5098240,c1_conv_layer2_dW_d0,out,64,48000,addr_width=16
max_pooling_fprop1,1,5098240,c1_conv_layer2_dW_q0,in,64,48000,addr_width=16
max_pooling_fprop1,1,5098240,c1_conv_layer2_dW_d1,out,64,48000,addr_width=16
max_pooling_fprop1,1,5098240,c1_conv_layer2_dW_q1,in,64,48000,addr_width=16
max_pooling_fprop1,1,5482240,c1_conv_layer2_map_common_d0,out,64,1024,addr_width=10
max_pooling_fprop1,1,5482240,c1_conv_layer2_map_common_q0,in,64,1024,addr_width=10
max_pooling_fprop1,1,5482240,c1_conv_layer2_map_common_d1,out,64,1024,addr_width=10
max_pooling_fprop1,1,5482240,c1_conv_layer2_map_common_q1,in,64,1024,addr_width=10
max_pooling_fprop1,0,48,s2_pooling_layer1_map_w,in,32,1,
max_pooling_fprop1,0,52,s2_pooling_layer1_map_h,in,32,1,
max_pooling_fprop1,0,56,s2_pooling_layer1_map_count,in,32,1,
max_pooling_fprop1,0,60,s2_pooling_layer1_kernel_w,in,32,1,
max_pooling_fprop1,0,64,s2_pooling_layer1_kernel_h,in,32,1,
max_pooling_fprop1,0,68,s2_pooling_layer1_kernel_count,in,32,1,
max_pooling_fprop1,1,5490432,s2_pooling_layer2_data_d0,out,64,122880,addr_width=17
max_pooling_fprop1,1,6473472,s2_pooling_layer2_error_d0,out,64,122880,addr_width=17
max_pooling_fprop1,1,6473472,s2_pooling_layer2_error_q0,in,64,122880,addr_width=17
max_pooling_fprop1,1,6473472,s2_pooling_layer2_error_d1,out,64,122880,addr_width=17
max_pooling_fprop1,1,6473472,s2_pooling_layer2_error_q1,in,64,122880,addr_width=17
max_pooling_fprop1,1,7456512,s2_pooling_layer2_b_d0,out,64,120,addr_width=7
max_pooling_fprop1,1,7456512,s2_pooling_layer2_b_q0,in,64,120,addr_width=7
max_pooling_fprop1,1,7456512,s2_pooling_layer2_b_d1,out,64,120,addr_width=7
max_pooling_fprop1,1,7456512,s2_pooling_layer2_b_q1,in,64,120,addr_width=7
max_pooling_fprop1,1,7457472,s2_pooling_layer2_db_d0,out,64,120,addr_width=7
max_pooling_fprop1,1,7457472,s2_pooling_layer2_db_q0,in,64,120,addr_width=7
max_pooling_fprop1,1,7457472,s2_pooling_layer2_db_d1,out,64,120,addr_width=7
max_pooling_fprop1,1,7457472,s2_pooling_layer2_db_q1,in,64,120,addr_width=7
max_pooling_fprop1,1,7458432,s2_pooling_layer2_W_d0,out,64,48000,addr_width=16
max_pooling_fprop1,1,7458432,s2_pooling_layer2_W_q0,in,64,48000,addr_width=16
max_pooling_fprop1,1,7458432,s2_pooling_layer2_W_d1,out,64,48000,addr_width=16
max_pooling_fprop1,1,7458432,s2_pooling_layer2_W_q1,in,64,48000,addr_width=16
max_pooling_fprop1,1,7842432,s2_pooling_layer2_dW_d0,out,64,48000,addr_width=16
max_pooling_fprop1,1,7842432,s2_pooling_layer2_dW_q0,in,64,48000,addr_width=16
max_pooling_fprop1,1,7842432,s2_pooling_layer2_dW_d1,out,64,48000,addr_width=16
max_pooling_fprop1,1,7842432,s2_pooling_layer2_dW_q1,in,64,48000,addr_width=16
max_pooling_fprop1,1,8226432,s2_pooling_layer2_map_common_d0,out,64,1024,addr_width=10
max_pooling_fprop1,1,8226432,s2_pooling_layer2_map_common_q0,in,64,1024,addr_width=10
max_pooling_fprop1,1,8226432,s2_pooling_layer2_map_common_d1,out,64,1024,addr_width=10
max_pooling_fprop1,1,8226432,s2_pooling_layer2_map_common_q1,in,64,1024,addr_width=10
max_pooling_fprop2,0,72,c3_conv_layer1_map_w,in,32,1,
max_pooling_fprop2,0,76,c3_conv_layer1_map_h,in,32,1,
max_pooling_fprop2,0,80,c3_conv_layer1_map_count,in,32,1,
max_pooling_fprop2,0,84,c3_conv_layer1_kernel_w,in,32,1,
max_pooling_fprop2,0,88,c3_conv_layer1_kernel_h,in,32,1,
max_pooling_fprop2,0,92,c3_conv_layer1_kernel_count,in,32,1,
max_pooling_fprop2,1,8234624,c3_conv_layer2_data_q0,in,64,122880,addr_width=17
max_pooling_fprop2,1,8234624,c3_conv_layer2_data_q1,in,64,122880,addr_width=17
max_pooling_fprop2,1,9217664,c3_conv_layer2_error_d0,out,64,122880,addr_width=17
max_pooling_fprop2,1,9217664,c3_conv_layer2_error_q0,in,64,122880,addr_width=17
max_pooling_fprop2,1,9217664,c3_conv_layer2_error_d1,out,64,122880,addr_width=17
max_pooling_fprop2,1,9217664,c3_conv_layer2_error_q1,in,64,122880,addr_width=17
max_pooling_fprop2,1,10200704,c3_conv_layer2_b_d0,out,64,120,addr_width=7
max_pooling_fprop2,1,10200704,c3_conv_layer2_b_q0,in,64,120,addr_width=7
max_pooling_fprop2,1,10200704,c3_conv_layer2_b_d1,out,64,120,addr_width=7
max_pooling_fprop2,1,10200704,c3_conv_layer2_b_q1,in,64,120,addr_width=7
max_pooling_fprop2,1,10201664,c3_conv_layer2_db_d0,out,64,120,addr_width=7
max_pooling_fprop2,1,10201664,c3_conv_layer2_db_q0,in,64,120,addr_width=7
max_pooling_fprop2,1,10201664,c3_conv_layer2_db_d1,out,64,120,addr_width=7
max_pooling_fprop2,1,10201664,c3_conv_layer2_db_q1,in,64,120,addr_width=7
max_pooling_fprop2,1,10202624,c3_conv_layer2_W_d0,out,64,48000,addr_width=16
max_pooling_fprop2,1,10202624,c3_conv_layer2_W_q0,in,64,48000,addr_width=16
max_pooling_fprop2,1,10202624,c3_conv_layer2_W_d1,out,64,48000,addr_width=16
max_pooling_fprop2,1,10202624,c3_conv_layer2_W_q1,in,64,48000,addr_width=16
max_pooling_fprop2,1,10586624,c3_conv_layer2_dW_d0,out,64,48000,addr_width=16
max_pooling_fprop2,1,10586624,c3_conv_layer2_dW_q0,in,64,48000,addr_width=16
max_pooling_fprop2,1,10586624,c3_conv_layer2_dW_d1,out,64,48000,addr_width=16
max_pooling_fprop2,1,10586624,c3_conv_layer2_dW_q1,in,64,48000,addr_width=16
max_pooling_fprop2,1,10970624,c3_conv_layer2_map_common_d0,out,64,1024,addr_width=10
max_pooling_fprop2,1,10970624,c3_conv_layer2_map_common_q0,in,64,1024,addr_width=10
max_pooling_fprop2,1,10970624,c3_conv_layer2_map_common_d1,out,64,1024,addr_width=10
max_pooling_fprop2,1,10970624,c3_conv_layer2_map_common_q1,in,64,1024,addr_width=10
max_pooling_fprop2,0,96,s4_pooling_layer1_map_w,in,32,1,
max_pooling_fprop2,0,100,s4_pooling_layer1_map_h,in,32,1,
max_pooling_fprop2,0,104,s4_pooling_layer1_map_count,in,32,1,
max_pooling_fprop2,0,108,s4_pooling_layer1_kernel_w,in,32,1,
max_pooling_fprop2,0,112,s4_pooling_layer1_kernel_h,in,32,1,
max_pooling_fprop2,0,116,s4_pooling_layer1_kernel_count,in,32,1,
max_pooling_fprop2,1,10978816,s4_pooling_layer2_data_d0,out,64,122880,addr_width=17
max_pooling_fprop2,1,11961856,s4_pooling_layer2_error_d0,out,64,122880,addr_width=17
max_pooling_fprop2,1,11961856,s4_pooling_layer2_error_q0,in,64,122880,addr_width=17
max_pooling_fprop2,1,11961856,s4_pooling_layer2_error_d1,out,64,122880,addr_width=17
max_pooling_fprop2,1,11961856,s4_pooling_layer2_error_q1,in,64,122880,addr_width=17
max_pooling_fprop2,1,12944896,s4_pooling_layer2_b_d0,out,64,120,addr_width=7
max_pooling_fprop2,1,12944896,s4_pooling_layer2_b_q0,in,64,120,addr_width=7
max_pooling_fprop2,1,12944896,s4_pooling_layer2_b_d1,out,64,120,addr_width=7
max_pooling_fprop2,1,12944896,s4_pooling_layer2_b_q1,in,64,120,addr_width=7
max_pooling_fprop2,1,12945856,s4_pooling_layer2_db_d0,out,64,120,addr_width=7
max_pooling_fprop2,1,12945856,s4_pooling_layer2_db_q0,in,64,120,addr_width=7
max_pooling_fprop2,1,12945856,s4_pooling_layer2_db_d1,out,64,120,addr_width=7
max_pooling_fprop2,1,12945856,s4_pooling_layer2_db_q1,in,64,120,addr_width=7
max_pooling_fprop2,1,12946816,s4_pooling_layer2_W_d0,out,64,48000,addr_width=16
max_pooling_fprop2,1,12946816,s4_pooling_layer2_W_q0,in,64,48000,addr_width=16
max_pooling_fprop2,1,12946816,s4_pooling_layer2_W_d1,out,64,48000,addr_width=16
max_pooling_fprop2,1,12946816,s4_pooling_layer2_W_q1,in,64,48000,addr_width=16
max_pooling_fprop2,1,13330816,s4_pooling_layer2_dW_d0,out,64,48000,addr_width=16
max_pooling_fprop2,1,13330816,s4_pooling_layer2_dW_q0,in,64,48000,addr_width=16
max_pooling_fprop2,1,13330816,s4_pooling_layer2_dW_d1,out,64,48000,addr_width=16
max_pooling_fprop2,1,13330816,s4_pooling_layer2_dW_q1,in,64,48000,addr_width=16
max_pooling_fprop2,1,13714816,s4_pooling_layer2_map_common_d0,out,64,1024,addr_width=10
max_pooling_fprop2,1,13714816,s4_pooling_layer2_map_common_q0,in,64,1024,addr_width=10
max_pooling_fprop2,1,13714816,s4_pooling_layer2_map_common_d1,out,64,1024,addr_width=10
max_pooling_fprop2,1,13714816,s4_pooling_layer2_map_common_q1,in,64,1024,addr_width=10
fully_connected_fprop,0,120,c5_conv_layer1_map_w,in,32,1,
fully_connected_fprop,0,124,c5_conv_layer1_map_h,in,32,1,
fully_connected_fprop,0,128,c5_conv_layer1_map_count,in,32,1,
fully_connected_fprop,0,132,c5_conv_layer1_kernel_w,in,32,1,
fully_connected_fprop,0,136,c5_conv_layer1_kernel_h,in,32,1,
fully_connected_fprop,0,140,c5_conv_layer1_kernel_count,in,32,1,
fully_connected_fprop,1,13723008,c5_conv_layer2_data_q0,in,64,122880,addr_width=17
fully_connected_fprop,1,14706048,c5_conv_layer2_error_d0,out,64,122880,addr_width=17
fully_connected_fprop,1,14706048,c5_conv_layer2_error_q0,in,64,122880,addr_width=17
fully_connected_fprop,1,14706048,c5_conv_layer2_error_d1,out,64,122880,addr_width=17
fully_connected_fprop,1,14706048,c5_conv_layer2_error_q1,in,64,122880,addr_width=17
fully_connected_fprop,1,15689088,c5_conv_layer2_b_d0,out,64,120,addr_width=7
fully_connected_fprop,1,15689088,c5_conv_layer2_b_q0,in,64,120,addr_width=7
fully_connected_fprop,1,15689088,c5_conv_layer2_b_d1,out,64,120,addr_width=7
fully_connected_fprop,1,15689088,c5_conv_layer2_b_q1,in,64,120,addr_width=7
fully_connected_fprop,1,15690048,c5_conv_layer2_db_d0,out,64,120,addr_width=7
fully_connected_fprop,1,15690048,c5_conv_layer2_db_q0,in,64,120,addr_width=7
fully_connected_fprop,1,15690048,c5_conv_layer2_db_d1,out,64,120,addr_width=7
fully_connected_fprop,1,15690048,c5_conv_layer2_db_q1,in,64,120,addr_width=7
fully_connected_fprop,1,15691008,c5_conv_layer2_W_d0,out,64,48000,addr_width=16
fully_connected_fprop,1,15691008,c5_conv_layer2_W_q0,in,64,48000,addr_width=16
fully_connected_fprop,1,15691008,c5_conv_layer2_W_d1,out,64,48000,addr_width=16
fully_connected_fprop,1,15691008,c5_conv_layer2_W_q1,in,64,48000,addr_width=16
fully_connected_fprop,1,16075008,c5_conv_layer2_dW_d0,out,64,48000,addr_width=16
fully_connected_fprop,1,16075008,c5_conv_layer2_dW_q0,in,64,48000,addr_width=16
fully_connected_fprop,1,16075008,c5_conv_layer2_dW_d1,out,64,48000,addr_width=16
fully_connected_fprop,1,16075008,c5_conv_layer2_dW_q1,in,64,48000,addr_width=16
fully_connected_fprop,1,16459008,c5_conv_layer2_map_common_d0,out,64,1024,addr_width=10
fully_connected_fprop,1,16459008,c5_conv_layer2_map_common_q0,in,64,1024,addr_width=10
fully_connected_fprop,1,16459008,c5_conv_layer2_map_common_d1,out,64,1024,addr_width=10
fully_connected_fprop,1,16459008,c5_conv_layer2_map_common_q1,in,64,1024,addr_width=10
fully_connected_fprop,0,144,output_layer1_map_w,in,32,1,
fully_connected_fprop,0,148,output_layer1_map_h,in,32,1,
fully_connected_fprop,0,152,output_layer1_map_count,in,32,1,
fully_connected_fprop,0,156,output_layer1_kernel_w,in,32,1,
fully_connected_fprop,0,160,output_layer1_kernel_h,in,32,1,
fully_connected_fprop,0,164,output_layer1_kernel_count,in,32,1,
fully_connected_fprop,1,16467200,output_layer2_data_d0,out,64,122880,addr_width=17
